learner_id;country;in_course;unit;avg_score;completion;inv_rate
1390141;TR;f;1;0.967;0.15;0
1388365;TR;t;1;0.676;0.3;0
1387634;CO;t;1;0.677;0.158;0
1387618;CZ;t;1;0.678;0.1;0
1384847;IT;f;1;0.690;0.1;0
1384761;PL;f;1;0.691;0.1;0
1383944;CO;f;1;0.692;0.15;0
1383138;CO;t;1;1;0.7;0
1382990;IT;t;1;0.967;0.35;0
1382857;CO;f;1;0.851;1;0
1382857;CO;f;1;0.656;1;0
1382830;CO;f;1;0.589;0.6;0
1382830;CO;f;1;0.5;0.154;0
1382662;CZ;t;REVIEW 3;0.775;1;0
1382622;CO;t;5;0.857;0.174;0
1382326;TR;t;8;0.926;0.2;0
1382319;TR;t;8;0.683;0.1;0
1382319;TR;t;9;0.684;0.333;0
1382214;CO;t;1;0.685;0.1;0
1382185;CZ;t;1;0.686;1;0
1382185;CZ;t;2;0.687;0.654;0
1382074;ES;t;1;0.688;0.15;0
1382049;CZ;t;1;0.689;0.25;0
1381675;TR;f;1;0.067;0.15;0
1381664;TR;f;VIDEO PODCASTS;0.479;0.175;0
1381551;CO;t;1;0.853;0.85;0
1381514;CO;f;1;0.654;1;0
1381514;CO;f;2;0.623;0.769;0
1381414;CO;t;1;0.74;0.25;0
1381390;CO;t;1;0.819;1;0
1381390;CO;t;2;0.826;0.769;0
1381146;CO;f;1;0.519;0.2;0
1381146;CO;f;2;0.486;0.769;0
1380469;TR;f;2;0.806;0.346;0
1380410;ES;f;1;0.894;0.35;0
1380363;NL;t;1;0.689;0.5;0
1380358;NL;t;1;0.776;1;0
1380358;NL;t;2;0.72;1;0
1380319;NL;f;1;1;0.1;0
1380318;NL;f;1;1;0.1;0
1380317;NL;f;1;1;0.1;0
1380315;NL;f;1;0.967;0.15;0
1380314;NL;f;1;0.851;0.8;0
1380225;CO;t;3;0.656;0.174;0
1380066;CO;f;1;0.589;0.5;0
1380066;CO;f;2;0.722;0.115;0
1379894;CO;f;2;0.749;0.769;0
1379767;NL;t;2;0.17;0.346;0
1379703;CO;t;1;1;0.1;0
1379588;TR;f;1;0.8;0.1;0
1379310;CO;t;1;0.767;0.35;0
1379307;CO;t;1;0.815;0.35;0
1379154;CO;t;1;0.632;0.5;0
1379105;TR;f;1;1;0.1;0
1378559;CO;t;1;0.89;1;0
1378559;CO;t;REVIEW 1;0.948;0.615;0
1378535;CO;t;1;0.744;0.8;0
1378535;CO;t;2;0.575;0.885;0
1378196;CO;f;1;1;0.1;0
1378107;CO;t;1;1;0.1;0
1377888;CO;t;1;1;0.1;0
1377879;CO;f;1;0.588;0.75;0
1377870;CO;t;1;1;0.1;0
1377868;CO;t;1;1;0.2;0
1377864;CO;f;1;0.933;0.15;0
1377863;CO;t;1;1;0.1;0
1377861;CO;t;2;0.667;0.077;0
1377811;IT;f;1;0.659;0.35;0
1377519;CO;t;1;0.94;0.25;0
1377312;CO;t;1;1;0.15;0
1377008;CO;t;VIDEO PODCASTS;0.943;0.075;0
1376887;CO;t;1;0.847;0.65;0
1376847;CO;t;1;0.83;0.65;0
1376664;TR;t;1;1;0.1;0
1376490;CO;t;1;0.933;0.15;0
1376336;CO;t;1;0.885;1;0
1376316;CO;f;1;0.767;0.15;0
1376316;CO;f;3;0.635;0.435;0
1376316;CO;f;REVIEW 1;0.557;0.692;0
1376054;TR;f;2;0.278;0.115;0
1375791;CO;t;1;0.702;0.85;0
1375791;CO;t;2;0.721;0.231;0
1375754;CO;t;1;0.937;0.35;0
1375671;CO;t;1;1;0.1;0
1375598;CO;t;REVIEW 2;0.541;0.818;0
1375598;CO;t;7;0.375;0.105;0
1375395;TR;t;7;0.938;0.211;0
1375395;TR;t;8;0.648;0.45;0
1375392;TR;t;7;0.626;0.211;0
1375392;TR;t;8;0.633;0.4;0
1375372;ES;t;1;1;0.1;0
1375277;CO;t;1;0.785;0.9;0
1375143;CO;t;1;0.844;0.95;0
1375143;CO;t;2;0.746;0.423;0
1375137;CO;t;1;0.818;0.3;0
1374992;CO;t;6;0.814;0.476;0
1374992;CO;t;7;1;0.105;0
1374929;CO;f;1;0.814;0.55;0
1374840;TR;t;1;0.767;0.15;0
1374838;TR;t;1;0.886;0.35;0
1374838;TR;t;8;0.963;0.2;0
1374834;TR;t;1;0.66;0.3;0
1374834;TR;t;8;0.855;0.2;0
1374834;TR;t;9;1;0.143;0
1374832;TR;t;1;0.828;0.6;0
1374830;TR;t;7;0.673;0.263;0
1374830;TR;t;8;0.61;0.25;0
1374830;TR;t;10;0.619;0.381;0
1374823;CZ;f;1;0.933;0.15;0
1374819;CO;t;1;0.661;0.35;0
1374772;TR;f;4;0.889;0.143;0
1374466;ES;t;1;1;0.1;0
1373847;CO;t;1;1;0.1;0
1373820;CO;t;1;0.671;1;0
1373820;CO;t;2;0.684;0.962;0
1373753;TR;t;2;0.431;0.577;0
1373753;TR;t;9;0.518;1;0
1373694;CZ;f;1;1;0.1;0
1373694;CZ;f;4;0.652;0.429;0
1373490;ES;t;1;0.833;0.6;0
1373490;ES;t;VIDEO PODCASTS;0.795;0.088;0
1373391;CO;t;8;0.926;0.45;0
1373391;CO;t;REVIEW 3;0.83;0.462;0
1373239;ES;t;1;0.831;0.3;0
1373192;CO;f;1;1;0.1;0
1373167;CO;t;2;0.63;0.462;0
1373167;CO;t;3;0.605;0.391;0
1373167;CO;t;REVIEW 1;1;0.154;0
1372972;ES;t;1;0.867;0.45;0
1372949;TR;t;7;0.216;0.211;0
1372949;TR;t;8;0.712;0.15;0
1372949;TR;t;9;0.632;0.524;0
1372946;TR;t;7;0.798;0.211;0
1372946;TR;t;8;0.933;0.15;0
1372943;TR;t;7;0.461;0.368;0
1372943;TR;t;8;0.544;0.2;0
1372943;TR;t;9;0.455;0.762;0
1372879;CO;t;1;0.74;1;0
1372818;ES;f;1;0.891;1;0
1372818;ES;f;2;0.815;0.308;0
1372673;CO;t;2;0.556;0.115;0
1372663;CO;t;1;1;0.25;0
1372663;CO;t;2;0.961;0.231;0
1372663;CO;t;REVIEW 1;0.687;0.385;0
1372663;CO;t;4;0.778;0.667;0
1372661;CO;t;1;0.633;0.7;0
1372644;TR;t;7;0.594;0.211;0
1372644;TR;t;8;0.739;0.15;0
1372584;TR;t;1;0.877;0.95;0
1372526;AU;t;3;0.322;0.304;0
1372526;AU;t;REVIEW 1;0.876;0.769;0
1372526;AU;t;4;0.566;0.667;0
1372526;AU;t;5;0.566;0.652;0
1372526;AU;t;6;0.69;0.381;0
1372330;MX;f;1;0.956;0.25;0
1372289;CO;t;1;0.8;0.15;0
1372237;ES;t;1;0.811;1;0
1372237;ES;t;2;0.799;1;0
1371799;CO;t;2;0.806;0.115;0
1371789;CO;t;9;0.667;0.143;0
1371617;CO;t;2;0.818;0.308;0
1371530;ES;t;1;0.705;1;0
1371443;CO;t;1;0.65;1;0
1371443;CO;t;2;0.627;1;0
1371443;CO;t;3;0.407;0.348;0
1371269;CO;t;1;0.791;0.3;0
1371156;IT;t;1;0.802;1;0
1371156;IT;t;2;0.868;1;0
1371156;IT;t;3;0.727;1;0
1371156;IT;t;REVIEW 1;0.836;1;0
1371156;IT;t;4;0.76;1;0
1371156;IT;t;5;0.777;0.957;0
1371141;ES;t;1;0.858;1;0
1371141;ES;t;2;0.802;1;0
1371080;CO;f;1;1;0.1;0
1371080;CO;f;2;0.667;0.077;0
1371054;JP;t;3;0.767;1;0
1371054;JP;t;5;0.701;0.783;0
1371053;AU;t;3;0.784;0.783;0
1371045;JP;t;4;0.838;0.333;0
1371045;JP;t;6;0.858;0.381;0
1371041;AU;t;3;0.803;0.348;0
1371041;AU;t;5;0.882;0.087;0
1371040;AU;t;1;0.748;0.55;0
1371040;AU;t;4;0.683;0.286;0
1371040;AU;t;5;0.698;0.565;0
1371037;AU;t;4;0.735;0.381;0
1371036;JP;t;3;0.644;0.957;0
1371036;JP;t;4;0.559;0.429;0
1371036;JP;t;5;0.73;0.522;0
1371035;AU;t;4;0.318;0.429;0
1371033;JP;t;3;0.697;1;0
1371033;JP;t;4;0.457;0.429;0
1371033;JP;t;5;0.789;0.783;0
1371032;AU;t;3;0.579;0.391;0
1371032;AU;t;4;0.643;0.429;0
1371032;AU;t;5;0.742;0.348;0
1371031;JP;t;3;0.692;0.435;0
1370990;CO;t;1;0.725;1;0
1370990;CO;t;2;0.641;1;0
1370990;CO;t;3;0.597;0.957;0
1370990;CO;t;REVIEW 1;0.649;1;0
1370958;ES;t;1;0.923;1;0
1370958;ES;t;2;0.907;1;0
1370884;TR;t;1;0.8;0.1;0
1370884;TR;t;9;0.659;0.667;0
1370874;TR;t;1;1;0.1;0
1370874;TR;t;7;0.49;0.474;0
1370874;TR;t;8;0.391;0.3;0
1370874;TR;t;9;0.529;0.762;0
1370871;TR;t;7;0.374;0.211;0
1370871;TR;t;8;0.612;0.15;0
1370860;TR;t;1;0.867;0.15;0
1370860;TR;t;7;0.39;0.474;0
1370860;TR;t;8;0.654;0.3;0
1370860;TR;t;9;0.625;0.857;0
1370857;TR;t;1;0.8;0.1;0
1370857;TR;t;7;0.596;0.263;0
1370857;TR;t;8;0.9;0.15;0
1370857;TR;t;9;0.722;0.524;0
1370856;TR;t;1;0.9;0.15;0
1370856;TR;t;7;0.354;0.368;0
1370856;TR;t;8;0.46;0.35;0
1370854;TR;t;1;0.958;0.7;0
1370854;TR;t;7;0.688;0.526;0
1370854;TR;t;8;0.913;0.35;0
1370854;TR;t;9;0.869;0.857;0
1370854;TR;t;10;1;0.095;0
1370852;TR;t;1;0.924;0.7;0
1370852;TR;t;7;0.801;0.474;0
1370852;TR;t;8;0.864;0.25;0
1370852;TR;t;9;0.946;0.81;0
1370852;TR;t;10;1;0.095;0
1370840;ES;t;1;0.871;1;0
1370840;ES;t;2;0.75;0.077;0
1370820;ES;t;1;0.889;1;0
1370820;ES;t;2;0.890;1;0
1370806;ES;t;1;0.891;1;0
1370806;ES;t;2;0.892;1;0
1370743;ES;t;1;0.893;1;0
1370743;ES;t;2;0.894;0.308;0
1370715;ES;t;1;0.895;0.2;0
1370668;ES;f;1;0.634;1;0
1370668;ES;f;2;0.606;1;0
1370407;CO;f;2;0.831;0.231;0
1370400;ES;t;1;0.992;1;0
1370400;ES;t;2;0.99;1;0
1370399;CO;f;2;1;0.231;0
1370395;CO;f;2;1;0.231;0
1370395;CO;f;VIDEO PODCASTS;0.811;0.063;0
1370393;CO;t;2;0.983;0.231;0
1370393;CO;t;VIDEO PODCASTS;0.857;0.025;0
1370392;CO;f;2;0.956;0.231;0
1370392;CO;f;VIDEO PODCASTS;0.571;0.025;0
1370390;CO;f;2;0.864;0.231;0
1370390;CO;f;VIDEO PODCASTS;0.714;0.025;0
1370388;CO;f;2;1;0.231;0
1370388;CO;f;VIDEO PODCASTS;0.754;0.088;0
1370385;TR;t;1;0.56;0.3;0
1370385;TR;t;7;0.31;0.158;0
1370385;TR;t;8;0.518;0.15;0
